t,cam_center_x,face_x_asignada,distancia,conf_asignada
0.0000,1551.0,1551.5,0.5,0.9716
0.0333,1551.0,1544.7,6.3,
0.0667,1551.0,1537.8,13.2,
0.1000,1551.0,1531.0,20.0,0.9704
0.1333,1551.0,1527.3,23.7,
0.1667,1551.0,1523.7,27.3,
0.2000,1551.0,1520.0,31.0,0.9719
0.2333,1551.0,1513.5,37.5,
0.2667,1551.0,1507.0,44.0,
0.3000,1551.0,1500.5,50.5,0.9650
0.3333,1551.0,1500.2,50.8,
0.3667,1551.0,1499.8,51.2,
0.4000,1551.0,1499.5,51.5,0.9681
0.4333,1551.0,1502.0,49.0,
0.4667,1551.0,1504.5,46.5,
0.5000,1551.0,1507.0,44.0,0.9720
0.5333,1551.0,1510.3,40.7,
0.5667,1551.0,1513.7,37.3,
0.6000,1551.0,1517.0,34.0,0.9672
0.6333,1551.0,1518.7,32.3,
0.6667,1551.0,1520.3,30.7,
0.7000,1551.0,1522.0,29.0,0.9425
0.7333,1551.0,1514.7,36.3,
0.7667,1551.0,1507.3,43.7,
0.8000,1551.0,1500.0,51.0,0.9422
0.8333,1551.0,1499.2,51.8,
0.8667,1551.0,1498.3,52.7,
0.9000,1551.0,1497.5,53.5,0.9317
0.9333,1551.0,1499.0,52.0,
0.9667,1551.0,1500.5,50.5,
1.0000,1551.0,1502.0,49.0,0.9491
1.0333,1551.0,1498.7,52.3,
1.0667,1551.0,1495.3,55.7,
1.1000,1551.0,1492.0,59.0,0.9295
1.1333,1551.0,1491.3,59.7,
1.1667,1551.0,1490.7,60.3,
1.2000,1551.0,1490.0,61.0,0.9297
1.2333,1551.0,1492.2,58.8,
1.2667,1551.0,1494.3,56.7,
1.3000,1551.0,1496.5,54.5,0.9409
1.3333,1551.0,1494.2,56.8,
1.3667,1551.0,1491.8,59.2,
1.4000,1551.0,1489.5,61.5,0.9483
1.4333,1551.0,1493.7,57.3,
1.4667,1551.0,1497.8,53.2,
1.5000,1551.0,1502.0,49.0,0.9410
1.5333,1551.0,1500.7,50.3,
1.5667,1551.0,1499.3,51.7,
1.6000,1551.0,1498.0,53.0,0.9486
1.6333,1551.0,1501.0,50.0,
1.6667,1551.0,1504.0,47.0,
1.7000,1551.0,1507.0,44.0,0.9416
1.7333,1551.0,1507.2,43.8,
1.7667,1551.0,1507.3,43.7,
1.8000,1551.0,1507.5,43.5,0.9434
1.8333,1551.0,1504.3,46.7,
1.8667,1551.0,1501.2,49.8,
1.9000,1551.0,1498.0,53.0,0.9467
1.9333,1551.0,1497.8,53.2,
1.9667,1551.0,1497.7,53.3,
2.0000,1551.0,1497.5,53.5,0.9534
2.0333,1551.0,1504.7,46.3,
2.0667,1551.0,1511.8,39.2,
2.1000,1551.0,1519.0,32.0,0.9533
2.1333,1551.0,1510.8,40.2,
2.1667,1551.0,1502.7,48.3,
2.2000,1551.0,1494.5,56.5,0.9468
2.2333,1551.0,1499.5,51.5,
2.2667,1551.0,1504.5,46.5,
2.3000,1551.0,1509.5,41.5,0.9409
2.3333,1551.0,1507.5,43.5,
2.3667,1551.0,1505.5,45.5,
2.4000,1551.0,1503.5,47.5,0.9529
2.4333,1551.0,1508.0,43.0,
2.4667,1551.0,1512.5,38.5,
2.5000,1551.0,1517.0,34.0,0.9208
2.5333,1551.0,1516.2,34.8,
2.5667,1551.0,1515.3,35.7,
2.6000,1551.0,1514.5,36.5,0.9470
2.6333,1551.0,1517.8,33.2,
2.6667,1551.0,1521.2,29.8,
2.7000,1551.0,1524.5,26.5,0.9496
2.7333,1551.0,1528.5,22.5,
2.7667,1551.0,1532.5,18.5,
2.8000,1551.0,1536.5,14.5,0.9662
2.8333,1551.0,1539.3,11.7,
2.8667,1551.0,1542.2,8.8,
2.9000,1551.0,1545.0,6.0,0.9629
2.9333,1551.0,1544.2,6.8,
2.9667,1551.0,1543.3,7.7,
3.0000,1551.0,1542.5,8.5,0.9470
3.0333,1551.0,1543.3,7.7,
3.0667,1551.0,1544.2,6.8,
3.1000,1551.0,1545.0,6.0,0.9709
3.1333,1551.0,1543.7,7.3,
3.1667,1551.0,1542.3,8.7,
3.2000,1551.0,1541.0,10.0,0.9664
3.2333,1551.0,1540.5,10.5,
3.2667,1551.0,1540.0,11.0,
3.3000,1551.0,1539.5,11.5,0.9597
3.3333,1551.0,1534.7,16.3,
3.3667,1551.0,1529.8,21.2,
3.4000,1551.0,1525.0,26.0,0.9607
3.4333,1551.0,1530.0,21.0,
3.4667,1551.0,1535.0,16.0,
3.5000,1551.0,1540.0,11.0,0.9624
3.5333,1551.0,1537.8,13.2,
3.5667,1551.0,1535.7,15.3,
3.6000,1551.0,1533.5,17.5,0.9674
3.6333,1551.0,1533.0,18.0,
3.6667,1551.0,1532.5,18.5,
3.7000,1551.0,1532.0,19.0,0.9576
3.7333,1551.0,1524.5,26.5,
3.7667,1551.0,1517.0,34.0,
3.8000,1551.0,1509.5,41.5,0.9466
3.8333,1551.0,1510.3,40.7,
3.8667,1551.0,1511.2,39.8,
3.9000,1551.0,1512.0,39.0,0.9512
3.9333,1551.0,1517.8,33.2,
3.9667,1551.0,1523.7,27.3,
4.0000,1551.0,1529.5,21.5,0.9367
4.0333,1551.0,1527.7,23.3,
4.0667,1551.0,1525.8,25.2,
4.1000,1551.0,1524.0,27.0,0.9285
4.1333,1551.0,1522.5,28.5,
4.1667,1551.0,1521.0,30.0,
4.2000,1551.0,1519.5,31.5,0.9294
4.2333,1551.0,1516.7,34.3,
4.2667,1551.0,1513.8,37.2,
4.3000,1551.0,1511.0,40.0,0.9392
4.3333,1551.0,1509.2,41.8,
4.3667,1551.0,1507.3,43.7,
4.4000,1551.0,1505.5,45.5,0.9310
4.4333,1551.0,1506.2,44.8,
4.4667,1551.0,1506.8,44.2,
4.5000,1551.0,1507.5,43.5,0.9501
4.5333,1551.0,1509.0,42.0,
4.5667,1551.0,1510.5,40.5,
4.6000,1551.0,1512.0,39.0,0.9535
4.6333,1551.0,1516.7,34.3,
4.6667,1551.0,1521.3,29.7,
4.7000,1551.0,1526.0,25.0,0.9484
4.7333,1551.0,1525.7,25.3,
4.7667,1551.0,1525.3,25.7,
4.8000,1551.0,1525.0,26.0,0.9619
4.8333,1551.0,1526.5,24.5,
4.8667,1551.0,1528.0,23.0,
4.9000,1551.0,1529.5,21.5,0.9726
4.9333,1551.0,1530.3,20.7,
4.9667,1551.0,1531.2,19.8,
5.0000,1551.0,1532.0,19.0,0.9629
5.0333,1551.0,1532.2,18.8,
5.0667,1551.0,1532.3,18.7,
5.1000,1551.0,1532.5,18.5,0.9624
5.1333,1551.0,1532.0,19.0,
5.1667,1551.0,1531.5,19.5,
5.2000,1551.0,1531.0,20.0,0.9614
5.2333,1551.0,1532.2,18.8,
5.2667,1551.0,1533.3,17.7,
5.3000,1551.0,1534.5,16.5,0.9521
5.3333,1551.0,1535.2,15.8,
5.3667,1551.0,1535.8,15.2,
5.4000,1551.0,1536.5,14.5,0.9475
5.4333,1551.0,1533.5,17.5,
5.4667,1551.0,1530.5,20.5,
5.5000,1551.0,1527.5,23.5,0.9656
5.5333,1551.0,1527.7,23.3,
5.5667,1551.0,1527.8,23.2,
5.6000,1551.0,1528.0,23.0,0.9725
5.6333,1551.0,1525.8,25.2,
5.6667,1551.0,1523.7,27.3,
5.7000,1551.0,1521.5,29.5,0.9594
5.7333,1551.0,1521.5,29.5,
5.7667,1551.0,1521.5,29.5,
5.8000,1551.0,1521.5,29.5,0.9634
5.8333,1551.0,1520.5,30.5,
5.8667,1551.0,1519.5,31.5,
5.9000,1551.0,1518.5,32.5,0.9537
5.9333,1551.0,1519.8,31.2,
5.9667,1551.0,1521.2,29.8,
6.0000,1551.0,1522.5,28.5,0.9551
6.0333,1551.0,1522.0,29.0,
6.0667,1551.0,1521.5,29.5,
6.1000,1551.0,1521.0,30.0,0.9615
6.1333,1551.0,1517.8,33.2,
6.1667,1551.0,1514.7,36.3,
6.2000,1551.0,1511.5,39.5,0.9577
