t,cam_center_x,face_x_asignada,distancia,conf_asignada
0.0000,599.0,599.5,0.5,0.9188
0.0333,599.0,599.8,0.8,
0.0667,599.0,600.2,1.2,
0.1000,599.0,600.5,1.5,0.9144
0.1333,599.0,600.5,1.5,
0.1667,599.0,600.5,1.5,
0.2000,599.0,600.5,1.5,0.9154
0.2333,599.0,600.5,1.5,
0.2667,599.0,600.5,1.5,
0.3000,599.0,600.5,1.5,0.9176
0.3333,599.0,600.5,1.5,
0.3667,599.0,600.5,1.5,
0.4000,599.0,600.5,1.5,0.9187
0.4333,599.0,600.2,1.2,
0.4667,599.0,599.8,0.8,
0.5000,599.0,599.5,0.5,0.9203
0.5333,599.0,599.8,0.8,
0.5667,599.0,600.2,1.2,
0.6000,599.0,600.5,1.5,0.9188
0.6333,599.0,599.8,0.8,
0.6667,599.0,599.2,0.2,
0.7000,599.0,598.5,0.5,0.9201
0.7333,599.0,598.7,0.3,
0.7667,599.0,598.8,0.2,
0.8000,599.0,599.0,0.0,0.9180
0.8333,599.0,599.5,0.5,
0.8667,599.0,600.0,1.0,
0.9000,599.0,600.5,1.5,0.9169
0.9333,599.0,599.7,0.7,
0.9667,599.0,598.8,0.2,
1.0000,599.0,598.0,1.0,
1.0333,599.0,597.2,1.8,
1.0667,599.0,596.3,2.7,
1.1000,599.0,595.5,3.5,0.9179
1.1333,599.0,595.0,4.0,
1.1667,599.0,594.5,4.5,
1.2000,599.0,594.0,5.0,
1.2333,599.0,593.5,5.5,
1.2667,599.0,593.0,6.0,
1.3000,599.0,592.5,6.5,0.9201
1.3333,599.0,592.7,6.3,
1.3667,599.0,592.8,6.2,
1.4000,599.0,593.0,6.0,0.9119
1.4333,599.0,592.7,6.3,
1.4667,599.0,592.3,6.7,
1.5000,599.0,592.0,7.0,0.9101
1.5333,599.0,591.8,7.2,
1.5667,599.0,591.5,7.5,
1.6000,599.0,591.2,7.8,
1.6333,599.0,591.0,8.0,
1.6667,599.0,590.8,8.2,
1.7000,599.0,590.5,8.5,0.9111
1.7333,599.0,590.2,8.8,
1.7667,599.0,589.8,9.2,
1.8000,599.0,589.5,9.5,0.9162
1.8333,599.0,589.3,9.7,
1.8667,599.0,589.2,9.8,
1.9000,599.0,589.0,10.0,0.9150
1.9333,599.0,588.3,10.7,
1.9667,599.0,587.7,11.3,
2.0000,599.0,587.0,12.0,0.9143
2.0333,599.0,587.0,12.0,
2.0667,599.0,587.0,12.0,
2.1000,599.0,587.0,12.0,0.9111
2.1333,599.0,587.0,12.0,
2.1667,599.0,587.0,12.0,
2.2000,599.0,587.0,12.0,0.9060
2.2333,599.0,586.5,12.5,
2.2667,599.0,586.0,13.0,
2.3000,599.0,585.5,13.5,0.9048
2.3333,599.0,586.0,13.0,
2.3667,599.0,586.5,12.5,
2.4000,599.0,587.0,12.0,0.9037
2.4333,599.0,586.7,12.3,
2.4667,599.0,586.3,12.7,
2.5000,599.0,586.0,13.0,0.9027
2.5333,599.0,586.5,12.5,
2.5667,599.0,587.0,12.0,
2.6000,599.0,587.5,11.5,0.9028
2.6333,599.0,587.8,11.2,
2.6667,599.0,588.2,10.8,
2.7000,599.0,588.5,10.5,0.9042
2.7333,599.0,588.5,10.5,
2.7667,599.0,588.5,10.5,
2.8000,599.0,588.5,10.5,0.9066
2.8333,599.0,588.8,10.2,
2.8667,599.0,589.2,9.8,
2.9000,599.0,589.5,9.5,0.9057
2.9333,599.0,589.7,9.3,
2.9667,599.0,589.8,9.2,
3.0000,599.0,590.0,9.0,0.9062
3.0333,599.0,589.7,9.3,
3.0667,599.0,589.3,9.7,
3.1000,599.0,589.0,10.0,0.9054
3.1333,599.0,589.2,9.8,
3.1667,599.0,589.3,9.7,
3.2000,599.0,589.5,9.5,0.9110
3.2333,599.0,589.7,9.3,
3.2667,599.0,589.8,9.2,
3.3000,599.0,590.0,9.0,0.9084
3.3333,599.0,590.3,8.7,
