t,cam_center_x,face_x_asignada,distancia,en_c2,dist_le_80,tramo_id
0.0000,1361.5,1361.5,0.0,0,1,0
0.0167,1361.5,1363.2,1.7,0,1,0
0.0333,1361.5,1364.8,3.3,0,1,0
0.0500,1361.5,1366.5,5.0,0,1,0
0.0667,1361.5,1361.7,0.2,0,1,0
0.0833,1361.5,1356.8,4.7,0,1,0
0.1000,1361.5,1352.0,9.5,0,1,0
0.1167,1361.5,1350.7,10.8,0,1,0
0.1333,1361.5,1349.3,12.2,0,1,0
0.1500,1361.5,1348.0,13.5,0,1,0
0.1667,1361.5,1348.5,13.0,0,1,0
0.1833,1361.5,1349.0,12.5,0,1,0
0.2000,1361.5,1349.5,12.0,0,1,0
0.2167,1361.5,1350.7,10.8,0,1,0
0.2333,1361.5,1351.8,9.7,0,1,0
0.2500,1361.5,1353.0,8.5,0,1,0
0.2667,1361.5,1353.5,8.0,0,1,0
0.2833,1361.5,1354.0,7.5,0,1,0
0.3000,1361.5,1354.5,7.0,0,1,0
0.3167,1361.5,1354.8,6.7,0,1,0
0.3333,1361.5,1355.2,6.3,0,1,0
0.3500,1361.5,1355.5,6.0,0,1,0
0.3667,1361.5,1356.8,4.7,0,1,0
0.3833,1361.5,1358.2,3.3,0,1,0
0.4000,1361.5,1359.5,2.0,0,1,0
0.4167,1361.5,1360.7,0.8,0,1,0
0.4333,1361.5,1361.8,0.3,0,1,0
0.4500,1361.5,1363.0,1.5,0,1,0
0.4667,1361.5,1362.3,0.8,0,1,0
0.4833,1361.5,1361.7,0.2,0,1,0
0.5000,1361.5,1361.0,0.5,0,1,0
0.5167,1361.5,1361.0,0.5,0,1,0
0.5333,1361.5,1361.0,0.5,0,1,0
0.5500,1361.5,1361.0,0.5,0,1,0
0.5667,1361.5,1359.8,1.7,0,1,0
0.5833,1361.5,1358.7,2.8,0,1,0
0.6000,1361.5,1357.5,4.0,0,1,0
0.6167,1361.5,1355.0,6.5,0,1,0
0.6333,1361.5,1352.5,9.0,0,1,0
0.6500,1361.5,1350.0,11.5,0,1,0
0.6667,1361.5,1351.8,9.7,0,1,0
0.6833,1361.5,1353.7,7.8,0,1,0
0.7000,1361.5,1355.5,6.0,0,1,0
0.7167,1361.5,1355.3,6.2,0,1,0
0.7333,1361.5,1355.2,6.3,0,1,0
0.7500,1361.5,1355.0,6.5,0,1,0
0.7667,1361.5,1355.3,6.2,0,1,0
0.7833,1361.5,1355.7,5.8,0,1,0
0.8000,1361.5,1356.0,5.5,0,1,0
0.8167,1361.5,1357.5,4.0,0,1,0
0.8333,1361.5,1359.0,2.5,0,1,0
0.8500,1361.5,1360.5,1.0,0,1,0
0.8667,1361.5,1359.3,2.2,0,1,0
0.8833,1361.5,1358.2,3.3,0,1,0
0.9000,1361.5,1357.0,4.5,0,1,0
0.9167,1361.5,1351.8,9.7,0,1,0
0.9333,1361.5,1346.7,14.8,0,1,0
0.9500,1361.5,1341.5,20.0,0,1,0
0.9667,1361.5,1347.5,14.0,0,1,0
0.9833,1361.5,1353.5,8.0,0,1,0
1.0000,1361.5,1359.5,2.0,0,1,0
