t,cam_center_x,face_x_asignada,distancia,conf_asignada
0.0000,1497.0,1497.9,0.9,0.9306
0.0333,1497.0,1495.6,1.4,
0.0667,1497.0,1493.3,3.7,
0.1000,1497.0,1491.0,6.0,0.9281
0.1333,1497.0,1490.4,6.6,
0.1667,1497.0,1489.7,7.3,
0.2000,1497.0,1489.0,8.0,0.9292
0.2333,1497.0,1487.4,9.6,
0.2667,1497.0,1485.8,11.2,
0.3000,1497.0,1484.2,12.8,0.9233
0.3333,1497.0,1481.5,15.5,
0.3667,1497.0,1478.8,18.2,
0.4000,1497.0,1476.0,21.0,0.9265
0.4333,1497.0,1474.7,22.3,
0.4667,1497.0,1473.3,23.7,
0.5000,1497.0,1471.9,25.1,0.9245
0.5333,1497.0,1471.0,26.0,
0.5667,1497.0,1470.1,26.9,
0.6000,1497.0,1469.2,27.8,0.9194
0.6333,1497.0,1469.2,27.8,
0.6667,1497.0,1469.2,27.8,
0.7000,1497.0,1469.2,27.8,0.9187
0.7333,1497.0,1465.6,31.4,
0.7667,1497.0,1461.9,35.1,
0.8000,1497.0,1458.3,38.7,0.9195
0.8333,1497.0,1457.6,39.4,
0.8667,1497.0,1456.9,40.1,
0.9000,1497.0,1456.3,40.7,0.9180
0.9333,1497.0,1453.8,43.2,
0.9667,1497.0,1451.3,45.7,
1.0000,1497.0,1448.8,48.2,0.9121
1.0333,1497.0,1445.8,51.2,
1.0667,1497.0,1442.9,54.1,
1.1000,1497.0,1439.9,57.1,0.9189
1.1333,1497.0,1437.6,59.4,
1.1667,1497.0,1435.4,61.6,
1.2000,1497.0,1433.1,63.9,0.9161
1.2333,1497.0,1432.2,64.8,
1.2667,1497.0,1431.3,65.7,
1.3000,1497.0,1430.4,66.6,0.9141
1.3333,1497.0,1430.1,66.9,
1.3667,1497.0,1429.9,67.1,
1.4000,1497.0,1429.7,67.3,0.9095
1.4333,1497.0,1428.8,68.2,
1.4667,1497.0,1427.9,69.1,
1.5000,1497.0,1426.9,70.1,0.8957
1.5333,1497.0,1426.5,70.5,
1.5667,1497.0,1426.0,71.0,
1.6000,1497.0,1425.6,71.4,0.9037
1.6333,1497.0,1426.5,70.5,
