t,cam_center_x,face_x_asignada,distancia,conf_asignada
0.0000,1497.0,1497.9,0.9,0.9306
0.0333,1497.0,1496.1,0.9,
0.0667,1497.0,1494.4,2.6,
0.1000,1497.0,1492.7,4.3,
0.1333,1497.0,1490.9,6.1,
0.1667,1497.0,1489.2,7.8,
0.2000,1497.0,1487.5,9.5,
0.2333,1497.0,1485.8,11.2,
0.2667,1497.0,1484.0,13.0,
0.3000,1497.0,1482.3,14.7,
0.3333,1497.0,1480.6,16.4,
0.3667,1497.0,1478.9,18.1,
0.4000,1497.0,1477.1,19.9,
0.4333,1497.0,1475.4,21.6,
0.4667,1497.0,1473.7,23.3,
0.5000,1497.0,1471.9,25.1,0.9245
0.5333,1497.0,1470.4,26.6,
0.5667,1497.0,1468.9,28.1,
0.6000,1497.0,1467.3,29.7,
0.6333,1497.0,1465.8,31.2,
0.6667,1497.0,1464.2,32.8,
0.7000,1497.0,1462.7,34.3,
0.7333,1497.0,1461.1,35.9,
0.7667,1497.0,1459.6,37.4,
0.8000,1497.0,1458.0,39.0,
0.8333,1497.0,1456.5,40.5,
0.8667,1497.0,1454.9,42.1,
0.9000,1497.0,1453.4,43.6,
0.9333,1497.0,1451.9,45.1,
0.9667,1497.0,1450.3,46.7,
1.0000,1497.0,1448.8,48.2,0.9121
1.0333,1497.0,1447.3,49.7,
1.0667,1497.0,1445.9,51.1,
1.1000,1497.0,1444.4,52.6,
1.1333,1497.0,1442.9,54.1,
1.1667,1497.0,1441.5,55.5,
1.2000,1497.0,1440.0,57.0,
1.2333,1497.0,1438.6,58.4,
1.2667,1497.0,1437.1,59.9,
1.3000,1497.0,1435.7,61.3,
1.3333,1497.0,1434.2,62.8,
1.3667,1497.0,1432.8,64.2,
1.4000,1497.0,1431.3,65.7,
1.4333,1497.0,1429.9,67.1,
1.4667,1497.0,1428.4,68.6,
1.5000,1497.0,1426.9,70.1,0.8957
1.5333,1497.0,1427.8,69.2,
1.5667,1497.0,1428.6,68.4,
1.6000,1497.0,1429.4,67.6,
1.6333,1497.0,1430.2,66.8,
1.6667,1497.0,1431.0,66.0,
1.7000,1497.0,1431.9,65.1,
1.7333,1497.0,1432.7,64.3,
1.7667,1497.0,1433.5,63.5,
1.8000,1497.0,1434.3,62.7,
1.8333,1497.0,1435.1,61.9,
1.8667,1497.0,1435.9,61.1,
1.9000,1497.0,1436.8,60.2,
1.9333,1497.0,1437.6,59.4,
1.9667,1497.0,1438.4,58.6,
2.0000,1497.0,1439.2,57.8,0.9087
2.0333,1497.0,1441.6,55.4,
2.0667,1497.0,1443.9,53.1,
2.1000,1497.0,1446.3,50.7,
2.1333,1497.0,1448.7,48.3,
2.1667,1497.0,1451.0,46.0,
2.2000,1497.0,1453.4,43.6,
2.2333,1497.0,1455.8,41.2,
2.2667,1497.0,1458.1,38.9,
2.3000,1497.0,1460.5,36.5,
2.3333,1497.0,1462.9,34.1,
2.3667,1497.0,1465.2,31.8,
2.4000,1497.0,1467.6,29.4,
2.4333,1497.0,1469.9,27.1,
2.4667,1497.0,1472.3,24.7,
2.5000,1497.0,1474.7,22.3,0.9142
2.5333,1497.0,1477.1,19.9,
2.5667,1497.0,1479.5,17.5,
2.6000,1497.0,1481.9,15.1,
2.6333,1497.0,1484.3,12.7,
2.6667,1497.0,1486.7,10.3,
2.7000,1497.0,1489.1,7.9,
2.7333,1497.0,1491.5,5.5,
2.7667,1497.0,1493.9,3.1,
2.8000,1497.0,1496.4,0.6,
2.8333,1497.0,1498.8,1.8,
2.8667,1497.0,1501.2,4.2,
2.9000,1497.0,1503.6,6.6,
2.9333,1497.0,1506.0,9.0,
2.9667,1497.0,1508.4,11.4,
3.0000,1497.0,1510.8,13.8,0.9315
3.0333,1497.0,1509.7,12.7,
3.0667,1497.0,1508.5,11.5,
3.1000,1497.0,1507.4,10.4,
3.1333,1497.0,1506.3,9.3,
3.1667,1497.0,1505.1,8.1,
3.2000,1497.0,1504.0,7.0,
3.2333,1497.0,1502.9,5.9,
3.2667,1497.0,1501.7,4.7,
3.3000,1497.0,1500.6,3.6,
3.3333,1497.0,1499.4,2.4,
3.3667,1497.0,1498.3,1.3,
3.4000,1497.0,1497.2,0.2,
3.4333,1497.0,1496.0,1.0,
3.4667,1497.0,1494.9,2.1,
3.5000,1497.0,1493.8,3.2,0.9223
3.5333,1497.0,1492.8,4.2,
3.5667,1497.0,1491.8,5.2,
3.6000,1497.0,1490.8,6.2,
3.6333,1497.0,1489.8,7.2,
3.6667,1497.0,1488.8,8.2,
3.7000,1497.0,1487.8,9.2,
3.7333,1497.0,1486.8,10.2,
3.7667,1497.0,1485.8,11.2,
3.8000,1497.0,1484.8,12.2,
3.8333,1497.0,1483.8,13.2,
3.8667,1497.0,1482.8,14.2,
3.9000,1497.0,1481.8,15.2,
3.9333,1497.0,1480.8,16.2,
3.9667,1497.0,1479.8,17.2,
4.0000,1497.0,1478.8,18.2,0.9148
4.0333,1497.0,1477.6,19.4,
4.0667,1497.0,1476.4,20.6,
4.1000,1497.0,1475.2,21.8,
4.1333,1497.0,1474.0,23.0,
4.1667,1497.0,1472.9,24.1,
4.2000,1497.0,1471.7,25.3,
4.2333,1497.0,1470.5,26.5,
4.2667,1497.0,1469.3,27.7,
4.3000,1497.0,1468.1,28.9,
4.3333,1497.0,1466.9,30.1,
4.3667,1497.0,1465.8,31.2,
4.4000,1497.0,1464.6,32.4,
4.4333,1497.0,1463.4,33.6,
4.4667,1497.0,1462.2,34.8,
4.5000,1497.0,1461.0,36.0,0.9171
4.5333,1497.0,1463.5,33.5,
4.5667,1497.0,1466.0,31.0,
4.6000,1497.0,1468.5,28.5,
4.6333,1497.0,1471.0,26.0,
4.6667,1497.0,1473.5,23.5,
4.7000,1497.0,1476.0,21.0,
4.7333,1497.0,1478.5,18.5,
4.7667,1497.0,1481.0,16.0,
4.8000,1497.0,1483.5,13.5,
4.8333,1497.0,1486.0,11.0,
4.8667,1497.0,1488.5,8.5,
4.9000,1497.0,1491.0,6.0,
4.9333,1497.0,1493.5,3.5,
4.9667,1497.0,1496.0,1.0,
5.0000,1497.0,1498.5,1.5,0.9126
5.0333,1497.0,1498.2,1.2,
5.0667,1497.0,1497.8,0.8,
