t,cam_center_x,face_x_asignada,distancia,conf_asignada
0.0000,1486.0,1486.0,0.0,0.9008
0.0333,1486.0,1486.0,0.0,
0.0667,1486.0,1486.0,0.0,
0.1000,1486.0,1486.0,0.0,0.9007
0.1333,1486.0,1486.0,0.0,
0.1667,1486.0,1486.0,0.0,
0.2000,1486.0,1486.0,0.0,0.9009
0.2333,1486.0,1486.0,0.0,
0.2667,1486.0,1486.0,0.0,
0.3000,1486.0,1486.0,0.0,0.9007
0.3333,1486.0,1486.0,0.0,
0.3667,1486.0,1486.0,0.0,
0.4000,1486.0,1486.0,0.0,0.9006
0.4333,1486.0,1486.0,0.0,
0.4667,1486.0,1486.0,0.0,
0.5000,1486.0,1486.0,0.0,0.9005
0.5333,1486.0,1488.7,2.7,
0.5667,1486.0,1491.3,5.3,
0.6000,1486.0,1494.0,8.0,0.9040
0.6333,1486.0,1494.0,8.0,
0.6667,1486.0,1494.0,8.0,
0.7000,1486.0,1494.0,8.0,0.9033
0.7333,1486.0,1493.8,7.8,
0.7667,1486.0,1493.6,7.6,
0.8000,1486.0,1493.3,7.3,0.9079
0.8333,1486.0,1399.6,86.4,
0.8667,1457.0,1305.8,151.2,
0.9000,1437.0,1212.0,225.0,0.9136
0.9333,1423.0,1212.0,211.0,
0.9667,1411.0,1212.0,199.0,
1.0000,1402.0,1212.0,190.0,0.9136
1.0333,1395.0,1212.0,183.0,
1.0667,1388.0,1212.0,176.0,
1.1000,1381.0,1212.0,169.0,0.9136
1.1333,1375.0,1211.6,163.4,
1.1667,1369.0,1211.1,157.9,
1.2000,1364.0,1210.7,153.3,0.9136
1.2333,1359.0,1210.7,148.3,
1.2667,1355.0,1210.7,144.3,
1.3000,1351.0,1210.7,140.3,0.9138
1.3333,1347.0,1210.7,136.3,
1.3667,1344.0,1210.7,133.3,
1.4000,1341.0,1210.7,130.3,0.9138
1.4333,1338.0,1210.7,127.3,
1.4667,1336.0,1210.7,125.3,
1.5000,1333.0,1210.7,122.3,0.9137
1.5333,1331.0,1210.7,120.3,
1.5667,1329.0,1210.7,118.3,
1.6000,1327.0,1210.7,116.3,0.9137
1.6333,1325.0,1210.7,114.3,
1.6667,1324.0,1210.7,113.3,
1.7000,1322.0,1210.7,111.3,0.9138
1.7333,1321.0,1210.7,110.3,
1.7667,1320.0,1210.7,109.3,
1.8000,1318.0,1210.7,107.3,0.9136
1.8333,1317.0,1210.7,106.3,
1.8667,1316.0,1210.7,105.3,
1.9000,1316.0,1210.7,105.3,0.9136
1.9333,1315.0,1210.9,104.1,
1.9667,1314.0,1211.1,102.9,
2.0000,1313.0,1211.3,101.7,0.9115
2.0333,1313.0,1297.1,15.9,
2.0667,1312.0,1382.9,70.9,
2.1000,1333.0,1468.7,135.7,0.9089
2.1333,1348.0,1468.9,120.9,
2.1667,1360.0,1469.1,109.1,
2.2000,1369.0,1469.3,100.3,0.9038
2.2333,1377.0,1469.3,92.3,
2.2667,1385.0,1469.3,84.3,
2.3000,1391.0,1469.3,78.3,0.9039
2.3333,1397.0,1469.3,72.3,
2.3667,1403.0,1469.3,66.3,
2.4000,1408.0,1469.3,61.3,0.9039
2.4333,1413.0,1469.3,56.3,
2.4667,1418.0,1469.3,51.3,
2.5000,1422.0,1469.3,47.3,0.9040
2.5333,1425.0,1469.3,44.3,
2.5667,1429.0,1469.3,40.3,
2.6000,1432.0,1469.3,37.3,0.9039
2.6333,1435.0,1469.3,34.3,
2.6667,1437.0,1469.3,32.3,
2.7000,1440.0,1469.3,29.3,0.9039
2.7333,1442.0,1469.3,27.3,
2.7667,1444.0,1469.3,25.3,
2.8000,1446.0,1469.3,23.3,0.9039
2.8333,1448.0,1469.3,21.3,
2.8667,1450.0,1469.3,19.3,
2.9000,1451.0,1469.3,18.3,0.9039
2.9333,1452.0,1469.3,17.3,
2.9667,1454.0,1469.3,15.3,
3.0000,1455.0,1469.3,14.3,0.9039
3.0333,1456.0,1469.3,13.3,
3.0667,1457.0,1469.3,12.3,
3.1000,1458.0,1469.3,11.3,0.9038
3.1333,1459.0,1469.3,10.3,
3.1667,1459.0,1469.3,10.3,
3.2000,1460.0,1469.3,9.3,0.9042
3.2333,1461.0,1469.3,8.3,
3.2667,1461.0,1469.3,8.3,
3.3000,1462.0,1469.3,7.3,0.9040
3.3333,1462.0,1469.3,7.3,
3.3667,1463.0,1469.3,6.3,
3.4000,1463.0,1469.3,6.3,0.9040
3.4333,1464.0,1469.3,5.3,
3.4667,1464.0,1469.3,5.3,
3.5000,1464.0,1469.3,5.3,0.9040
3.5333,1465.0,1469.3,4.3,
3.5667,1465.0,1469.3,4.3,
3.6000,1465.0,1469.3,4.3,0.9040
3.6333,1465.0,1469.3,4.3,
3.6667,1466.0,1469.3,3.3,
3.7000,1466.0,1469.3,3.3,0.9041
3.7333,1466.0,1469.3,3.3,
3.7667,1466.0,1469.3,3.3,
3.8000,1466.0,1469.3,3.3,0.9040
3.8333,1467.0,1469.3,2.3,
3.8667,1467.0,1469.3,2.3,
3.9000,1467.0,1469.3,2.3,0.9041
3.9333,1467.0,1469.3,2.3,
3.9667,1467.0,1469.3,2.3,
4.0000,1467.0,1469.3,2.3,0.9040
4.0333,1467.0,1375.8,91.2,
4.0667,1437.0,1282.2,154.8,
4.1000,1416.0,1188.7,227.3,0.9174
4.1333,1401.0,1188.7,212.3,
4.1667,1389.0,1188.7,200.3,
4.2000,1380.0,1188.7,191.3,0.9177
4.2333,1372.0,1188.7,183.3,
4.2667,1365.0,1188.7,176.3,
4.3000,1358.0,1188.7,169.3,0.9176
4.3333,1352.0,1188.7,163.3,
4.3667,1347.0,1188.7,158.3,
4.4000,1341.0,1188.7,152.3,0.9175
4.4333,1337.0,1188.7,148.3,
4.4667,1332.0,1188.7,143.3,
4.5000,1328.0,1188.7,139.3,0.9176
4.5333,1324.0,1188.7,135.3,
4.5667,1321.0,1188.7,132.3,
4.6000,1318.0,1188.7,129.3,0.9176
4.6333,1315.0,1188.7,126.3,
4.6667,1312.0,1188.7,123.3,
4.7000,1310.0,1188.7,121.3,0.9175
4.7333,1308.0,1188.7,119.3,
4.7667,1306.0,1188.7,117.3,
4.8000,1304.0,1188.7,115.3,0.9176
4.8333,1302.0,1188.7,113.3,
4.8667,1300.0,1188.7,111.3,
4.9000,1299.0,1188.7,110.3,0.9175
4.9333,1297.0,1188.7,108.3,
4.9667,1296.0,1188.7,107.3,
5.0000,1295.0,1188.7,106.3,0.9171
5.0333,1294.0,1188.7,105.3,
5.0667,1293.0,1188.7,104.3,
5.1000,1292.0,1188.7,103.3,0.9171
5.1333,1291.0,1188.7,102.3,
5.1667,1290.0,1188.7,101.3,
5.2000,1290.0,1188.7,101.3,0.9173
5.2333,1289.0,1188.7,100.3,
5.2667,1289.0,1188.7,100.3,
5.3000,1288.0,1188.7,99.3,0.9173
5.3333,1287.0,1188.7,98.3,
5.3667,1287.0,1188.7,98.3,
5.4000,1287.0,1188.7,98.3,0.9173
5.4333,1286.0,1188.7,97.3,
5.4667,1286.0,1188.7,97.3,
5.5000,1286.0,1188.7,97.3,0.9173
5.5333,1285.0,1188.7,96.3,
5.5667,1285.0,1188.7,96.3,
5.6000,1285.0,1188.7,96.3,0.9178
5.6333,1284.0,1185.3,98.7,
5.6667,1284.0,1182.0,102.0,
5.7000,1275.0,1178.7,96.3,0.9073
5.7333,1276.0,1284.2,8.2,
5.7667,1286.0,1389.8,103.8,
5.8000,1325.0,1495.3,170.3,0.9141
5.8333,1350.0,1496.2,146.2,
5.8667,1368.0,1497.1,129.1,
5.9000,1381.0,1498.0,117.0,0.9144
5.9333,1392.0,1498.0,106.0,
5.9667,1400.0,1498.0,98.0,
6.0000,1408.0,1498.0,90.0,0.9151
6.0333,1415.0,1498.0,83.0,
6.0667,1421.0,1498.0,77.0,
6.1000,1427.0,1498.0,71.0,0.9152
6.1333,1432.0,1498.0,66.0,
6.1667,1437.0,1498.0,61.0,
6.2000,1442.0,1498.0,56.0,0.9145
6.2333,1446.0,1498.0,52.0,
6.2667,1450.0,1498.0,48.0,
6.3000,1454.0,1498.0,44.0,0.9145
6.3333,1457.0,1498.0,41.0,
6.3667,1460.0,1498.0,38.0,
6.4000,1463.0,1498.0,35.0,0.9149
6.4333,1465.0,1498.0,33.0,
6.4667,1468.0,1498.0,30.0,
6.5000,1470.0,1498.0,28.0,0.9151
6.5333,1472.0,1503.8,31.8,
6.5667,1474.0,1509.6,35.6,
6.6000,1475.0,1515.3,40.3,0.9197
6.6333,1477.0,1410.9,66.1,
6.6667,1452.0,1306.4,145.6,
6.7000,1395.0,1202.0,193.0,0.9126
6.7333,1388.0,1304.7,83.3,
6.7667,1389.0,1407.3,18.3,
6.8000,1401.0,1510.0,109.0,0.9121
6.8333,1410.0,1497.3,87.3,
6.8667,1418.0,1484.7,66.7,
6.9000,1426.0,1472.0,46.0,0.9115
6.9333,1421.0,1364.9,56.1,
6.9667,1398.0,1257.8,140.2,
7.0000,1342.0,1150.7,191.3,0.9174
7.0333,1310.0,1228.9,81.1,
7.0667,1309.0,1307.1,1.9,
7.1000,1309.0,1385.3,76.3,0.9158
7.1333,1309.0,1385.8,76.8,
7.1667,1309.0,1386.2,77.2,
7.2000,1309.0,1386.7,77.7,0.9157
7.2333,1308.0,1386.7,78.7,
7.2667,1308.0,1386.7,78.7,
7.3000,1308.0,1386.7,78.7,0.9155
7.3333,1308.0,1384.9,76.9,
7.3667,1308.0,1383.1,75.1,
7.4000,1308.0,1381.3,73.3,0.9133
7.4333,1308.0,1381.3,73.3,
7.4667,1308.0,1381.3,73.3,
7.5000,1308.0,1381.3,73.3,0.9132
7.5333,1307.0,1381.3,74.3,
7.5667,1307.0,1381.3,74.3,
7.6000,1307.0,1381.3,74.3,0.9132
7.6333,1307.0,1384.0,77.0,
7.6667,1307.0,1386.7,79.7,
7.7000,1307.0,1389.3,82.3,0.9313
7.7333,1307.0,1389.3,82.3,
7.7667,1307.0,1389.3,82.3,
7.8000,1307.0,1389.3,82.3,0.9311
7.8333,1307.0,1389.8,82.8,
7.8667,1307.0,1390.2,83.2,
7.9000,1307.0,1390.7,83.7,0.9315
7.9333,1307.0,1390.2,83.2,
7.9667,1307.0,1389.8,82.8,
8.0000,1307.0,1389.3,82.3,0.9313
8.0333,1307.0,1389.8,82.8,
8.0667,1307.0,1390.2,83.2,
8.1000,1307.0,1390.7,83.7,0.9316
8.1333,1307.0,1390.2,83.2,
8.1667,1307.0,1389.8,82.8,
8.2000,1307.0,1389.3,82.3,0.9314
8.2333,1307.0,1389.3,82.3,
8.2667,1307.0,1389.3,82.3,
8.3000,1307.0,1389.3,82.3,0.9314
8.3333,1307.0,1389.3,82.3,
