t,cam_center_x,face_x_asignada,distancia,conf_asignada
0.0000,1495.0,1495.8,0.8,0.9311
0.0333,1495.0,1494.2,0.8,
0.0667,1495.0,1492.6,2.4,
0.1000,1495.0,1491.0,4.0,
0.1333,1495.0,1489.4,5.6,
0.1667,1495.0,1487.9,7.1,
0.2000,1495.0,1486.3,8.7,
0.2333,1495.0,1484.7,10.3,
0.2667,1495.0,1483.1,11.9,
0.3000,1495.0,1481.5,13.5,
0.3333,1495.0,1479.9,15.1,
0.3667,1495.0,1478.3,16.7,
0.4000,1495.0,1476.7,18.3,
0.4333,1495.0,1475.1,19.9,
0.4667,1495.0,1473.5,21.5,
0.5000,1495.0,1471.9,23.1,0.9163
0.5333,1495.0,1474.5,20.5,
0.5667,1495.0,1477.0,18.0,
0.6000,1495.0,1479.6,15.4,
0.6333,1495.0,1482.1,12.9,
0.6667,1495.0,1484.7,10.3,
0.7000,1495.0,1487.2,7.8,
0.7333,1495.0,1489.8,5.2,
0.7667,1495.0,1492.3,2.7,
0.8000,1495.0,1494.9,0.1,
0.8333,1495.0,1497.4,2.4,
0.8667,1495.0,1499.9,4.9,
0.9000,1495.0,1502.5,7.5,
0.9333,1495.0,1505.0,10.0,
0.9667,1495.0,1507.6,12.6,
1.0000,1495.0,1510.1,15.1,0.9242
1.0333,1495.0,1509.0,14.0,
1.0667,1495.0,1507.8,12.8,
1.1000,1495.0,1506.7,11.7,
1.1333,1495.0,1505.6,10.6,
1.1667,1495.0,1504.4,9.4,
1.2000,1495.0,1503.3,8.3,
1.2333,1495.0,1502.2,7.2,
1.2667,1495.0,1501.0,6.0,
1.3000,1495.0,1499.9,4.9,
1.3333,1495.0,1498.8,3.8,
1.3667,1495.0,1497.6,2.6,
1.4000,1495.0,1496.5,1.5,
1.4333,1495.0,1495.4,0.4,
1.4667,1495.0,1494.2,0.8,
1.5000,1495.0,1493.1,1.9,0.9264
1.5333,1495.0,1492.5,2.5,
1.5667,1495.0,1491.9,3.1,
1.6000,1495.0,1491.3,3.7,
1.6333,1495.0,1490.7,4.3,
1.6667,1495.0,1490.1,4.9,
1.7000,1495.0,1489.5,5.5,
1.7333,1495.0,1488.9,6.1,
1.7667,1495.0,1488.4,6.6,
1.8000,1495.0,1487.8,7.2,
1.8333,1495.0,1487.2,7.8,
1.8667,1495.0,1486.6,8.4,
1.9000,1495.0,1486.0,9.0,
1.9333,1495.0,1485.4,9.6,
1.9667,1495.0,1484.8,10.2,
2.0000,1495.0,1484.2,10.8,0.9247
2.0333,1495.0,1484.8,10.2,
2.0667,1495.0,1485.4,9.6,
2.1000,1495.0,1486.0,9.0,
2.1333,1495.0,1486.6,8.4,
2.1667,1495.0,1487.2,7.8,
2.2000,1495.0,1487.8,7.2,
2.2333,1495.0,1488.4,6.6,
2.2667,1495.0,1488.9,6.1,
2.3000,1495.0,1489.5,5.5,
2.3333,1495.0,1490.1,4.9,
2.3667,1495.0,1490.7,4.3,
2.4000,1495.0,1491.3,3.7,
2.4333,1495.0,1491.9,3.1,
2.4667,1495.0,1492.5,2.5,
2.5000,1495.0,1493.1,1.9,0.9242
2.5333,1495.0,1494.3,0.7,
2.5667,1495.0,1495.5,0.5,
2.6000,1495.0,1496.8,1.8,
2.6333,1495.0,1498.0,3.0,
2.6667,1495.0,1499.2,4.2,
2.7000,1495.0,1500.4,5.4,
2.7333,1495.0,1501.7,6.7,
2.7667,1495.0,1502.9,7.9,
2.8000,1495.0,1504.1,9.1,
2.8333,1495.0,1505.3,10.3,
2.8667,1495.0,1506.6,11.6,
2.9000,1495.0,1507.8,12.8,
2.9333,1495.0,1509.0,14.0,
2.9667,1495.0,1510.3,15.3,
3.0000,1495.0,1511.5,16.5,0.9253
3.0333,1495.0,1512.2,17.2,
3.0667,1495.0,1512.8,17.8,
3.1000,1495.0,1513.5,18.5,
3.1333,1495.0,1514.2,19.2,
3.1667,1495.0,1514.9,19.9,
3.2000,1495.0,1515.6,20.6,
3.2333,1495.0,1516.3,21.3,
3.2667,1495.0,1516.9,21.9,
3.3000,1495.0,1517.6,22.6,
3.3333,1495.0,1518.3,23.3,
3.3667,1495.0,1519.0,24.0,
3.4000,1495.0,1519.7,24.7,
3.4333,1495.0,1520.3,25.3,
3.4667,1495.0,1521.0,26.0,
3.5000,1495.0,1521.7,26.7,0.9189
3.5333,1495.0,1519.2,24.2,
3.5667,1495.0,1516.7,21.7,
3.6000,1495.0,1514.2,19.2,
3.6333,1495.0,1511.7,16.7,
3.6667,1495.0,1509.2,14.2,
3.7000,1495.0,1506.7,11.7,
3.7333,1495.0,1504.2,9.2,
3.7667,1495.0,1501.7,6.7,
3.8000,1495.0,1499.2,4.2,
3.8333,1495.0,1496.7,1.7,
3.8667,1495.0,1494.2,0.8,
3.9000,1495.0,1491.7,3.3,
3.9333,1495.0,1489.2,5.8,
3.9667,1495.0,1486.7,8.3,
4.0000,1495.0,1484.2,10.8,0.9028
4.0333,1495.0,1484.1,10.9,
4.0667,1495.0,1483.9,11.1,
4.1000,1495.0,1483.8,11.2,
4.1333,1495.0,1483.7,11.3,
4.1667,1495.0,1483.5,11.5,
4.2000,1495.0,1483.4,11.6,
4.2333,1495.0,1483.3,11.7,
4.2667,1495.0,1483.1,11.9,
4.3000,1495.0,1483.0,12.0,
4.3333,1495.0,1482.9,12.1,
4.3667,1495.0,1482.7,12.3,
4.4000,1495.0,1482.6,12.4,
